IRIS,CODE_IRIS,NOM_IRIS,norm_obst,norm_tc,norm_pmr,norm_pente,norm_largU,norm_revtm
"0112","762170112",Vieux Neuville,"0.000",,,"0.000",,"0.600"
"0113","762170113",Neuville Lotissements,,,,,,
"0105","762170105",Val Druel,,,,,,
"0104","762170104",Janval Château Michel Feldmann,"1.000",,,"0.501","0.892","0.588"
"0115","762170115",Bel-Air,,,,,,
"0114","762170114",Paul Bert Puys,,,,,,
"0111","762170111",Les Coteaux,,,,,,
"0110","762170110",Pollet Cité du Marin,"0.800",,,"0.249","7.300","0.626"
"0116","762170116",Grands H.L.M. Commerces,,,,,,
"0101","762170101",Caude Côté,"0.400",,,"0.436","0.836","0.618"
"0103","762170103",Janval Bruyères Ferme des Hospices,"0.400",,,,"1.000","0.667"
"0108","762170108",Centre Ville Saint-Jacques,"0.800",,,"0.198","0.935","0.606"
"0109","762170109",Front de Mer Bout du Quai,"1.000",,,"0.165","5.107","0.759"
"0106","762170106",Zone d'Activités Talou,"0.400",,,"0.091","0.840","0.527"
"0107","762170107",Saint-Pierre,"0.800",,,"0.185","2.394","0.620"
"0102","762170102",Janval Quatre Vents,"0.800",,,"0.321","3.534","0.603"
"0112","762170112",Vieux Neuville,,"0.400",,"0.000",,"0.600"
"0113","762170113",Neuville Lotissements,,,,,,
"0105","762170105",Val Druel,,,,,,
"0104","762170104",Janval Château Michel Feldmann,,"0.800",,"0.501","0.892","0.588"
"0115","762170115",Bel-Air,,"0.400",,,,
"0114","762170114",Paul Bert Puys,,"1.000",,,,
"0111","762170111",Les Coteaux,,,,,,
"0110","762170110",Pollet Cité du Marin,,"0.800",,"0.249","7.300","0.626"
"0116","762170116",Grands H.L.M. Commerces,,"0.400",,,,
"0101","762170101",Caude Côté,,"0.400",,"0.436","0.836","0.618"
"0103","762170103",Janval Bruyères Ferme des Hospices,,"0.400",,,"1.000","0.667"
"0108","762170108",Centre Ville Saint-Jacques,,"0.400",,"0.198","0.935","0.606"
"0109","762170109",Front de Mer Bout du Quai,,,,"0.165","5.107","0.759"
"0106","762170106",Zone d'Activités Talou,,"0.400",,"0.091","0.840","0.527"
"0107","762170107",Saint-Pierre,,"0.800",,"0.185","2.394","0.620"
"0102","762170102",Janval Quatre Vents,,,,"0.321","3.534","0.603"
"0112","762170112",Vieux Neuville,,,,"0.000",,"0.600"
"0113","762170113",Neuville Lotissements,,,,,,
"0105","762170105",Val Druel,,,,,,
"0104","762170104",Janval Château Michel Feldmann,,,"0.800","0.501","0.892","0.588"
"0115","762170115",Bel-Air,,,,,,
"0114","762170114",Paul Bert Puys,,,,,,
"0111","762170111",Les Coteaux,,,,,,
"0110","762170110",Pollet Cité du Marin,,,,"0.249","7.300","0.626"
"0116","762170116",Grands H.L.M. Commerces,,,,,,
"0101","762170101",Caude Côté,,,"0.400","0.436","0.836","0.618"
"0103","762170103",Janval Bruyères Ferme des Hospices,,,,,"1.000","0.667"
"0108","762170108",Centre Ville Saint-Jacques,,,"0.800","0.198","0.935","0.606"
"0109","762170109",Front de Mer Bout du Quai,,,"0.800","0.165","5.107","0.759"
"0106","762170106",Zone d'Activités Talou,,,"0.400","0.091","0.840","0.527"
"0107","762170107",Saint-Pierre,,,"0.400","0.185","2.394","0.620"
"0102","762170102",Janval Quatre Vents,,,"0.400","0.321","3.534","0.603"
